id,post,"created at"
18,"Find out how YOU can support the #GlobalGoals here: https://t.co/K0aDMReTMd @GlobalGoalsUN  https://t.co/OgbXKfLdx0","2016-04-27 19:29:48"
19,"RT @UNVolunteers: Interested to serve as UN #Volunteer in the response to #EcuadorEarthquake? Register here! → https://t.co/LyhXzH555S http…","2016-04-27 18:09:33"
20,"#UNEPChampions exemplify leadership &amp; action on sustainable dvpt. Nominate your next @UNEP Champion before 30 April: https://t.co/tU6GZCbQvh","2016-04-27 16:05:05"
21,"Protecting culture = protecting people: https://t.co/WjQWAPi3gB  #unite4heritage via @UNESCO https://t.co/zY0o5OLCIY","2016-04-27 13:05:06"
22,"Introducing the #GreenFins Toolbox! Tools to help you #SaveOurReefs anywhere in the world: https://t.co/7buHyHoMQ7  @UNEP","2016-04-27 11:30:05"
23,"What does #FinancialInclusion mean to you? Share thoughts w/ @UNCDF during anniversary year  #LDCsForward #UNCDF50 https://t.co/fDNksE0gen","2016-04-27 10:05:06"
24,"New issue of ""UN Chronicle"" looks at link between conflict &amp;  implementation &amp; attainment of the #GlobalGoals, see: https://t.co/idwqLvAlLK","2016-04-27 07:05:01"
25,"RT @UN_Vienna: Remarks of @UN Secretary-General Ban Ki-moon at press stakeout with Minister @sebastiankurz https://t.co/ecahNPB2aE https://…","2016-04-27 06:32:40"
26,"RT @UNGeneva: The #OlympicFlame is coming to @UNGeneva on Friday 29 April, when the @UN will be awarded the #Olympics Cup! https://t.co/9mU…","2016-04-27 05:09:40"
27,"Ibrahim once dreamt of Olympic gold – now the athletic refugee will carry #Rio2016 torch https://t.co/VnBSr1PSXa https://t.co/Za2oUmjZZt","2016-04-27 04:05:06"
28,"RT @UN_News_Centre: .@UN peacekeeping chief says #SouthSudan peace process is ‘extremely fragile’ https://t.co/TCKRgUmFWy https://t.co/iUMj…","2016-04-27 02:50:55"
29,"RT @UNEP: 2015 UNEP Children's Painting Competition winners welcomed at UNEP HQ in Nairobi https://t.co/ukz7v0NGhq","2016-04-27 02:19:23"
30,"For @UNFPA Goodwill Ambassador @AshleyJudd, #RefugeesWelcome is more than just a hashtag. #SyriaCrisis https://t.co/KHx1mScCp1","2016-04-27 01:05:01"
31,"RT @UNDESA: Happening this week! #UNForests meeting to shape new path for Int’l Arrangement on Forests: https://t.co/b14GjTdMoT https://t.c…","2016-04-27 00:05:42"
32,"On 30th anniversary of #Chernobyl nuclear disaster, watch extraordinary drone footage of the city of Pripyat. https://t.co/SUreUvpnYB","2016-04-26 23:20:29"
33,"Starts today in NYC - Committee on Information which oversees UN Dept of Public Info work https://t.co/gsl8LYP5h5","2016-04-26 22:05:01"
34,"RT @UN_PGA: Tdy, we remember human cost of disaster. We renew our commitment to safer future-anniversary #Chernobyl catastrophe https://t.c…","2016-04-26 21:17:23"
35,"RT @UNRWA: It’s #WorldImmunizationWeek! UNRWA vaccinated nearly 16,000 children in #Syria in the first quarter of 2016. https://t.co/n9ZJRZ…","2016-04-26 20:27:31"
36,"RT @UNFCCC: Deadline extended! Apply for our 2016 #climatechange awards until 28 April! More: https://t.co/hsublGzfcT https://t.co/c0fUOpx8…","2016-04-26 19:47:41"
37,"6 goals of the Global Vaccine Action Plan - @WHO info is here: https://t.co/u9tm5DiU1Y #vaccineswork https://t.co/QDXF9pEqL5","2016-04-26 19:05:02"
38,"RT @PublicSphereWB: How an award winning school teacher solves environmental equations with a bicycle https://t.co/7J1JvRFzcm https://t.co/…","2016-04-26 18:39:12"
39,"The ""WiFi era"" is transforming how consumable culture is created, distributed &amp; enjoyed - @WIPO on #WorldIPDay https://t.co/K2BlYr2Afr","2016-04-26 16:05:07"
40,"RT @UNGeneva: Interview with #COP21 interpreter from @UNGeneva whose work aided historic #ParisAgreement - https://t.co/GFV2FB4Unc https://…","2016-04-26 15:03:31"
41,"RT @WIPO: Happy #WorldIPDay! Spread the word and celebrate creativity and innovation with us: https://t.co/o4AYlKmuYk https://t.co/2LEQIZsa…","2016-04-26 14:17:43"
42,"Africa looks to its entrepreneurs - @AfricaRenewal reports on a strategy to reduce youth unemployment https://t.co/AEJwTGyu3b","2016-04-26 14:05:03"
43,"Contiues in Baku: @UNAOC Global Forum: Living Together in Inclusive Society https://t.co/TpO394AVxT #UNAOCBaku2016 https://t.co/ajzdFZGCmw","2016-04-26 12:05:04"
44,"#UNEPChampions exemplify leadership &amp; action on sustainable dvpt. Nominate due on 30 April: https://t.co/tU6GZCbQvh via @UNEP","2016-04-26 10:05:02"
45,"Why is demographic data crucial for #GlobalGoals? Watch @UNDESA's ""Counting all people bc all of us count"" video https://t.co/X0fITTVJpH","2016-04-26 08:07:03"
46,"RT @UN_Women: .@UNTrustFundEVAW has been working to end violence against women for 20yrs. Join the fight. #OrangeYourHeart #UNTF
https://t.…","2016-04-26 07:06:15"
47,"1 yr after the #NepalQuake, Dudhimaya plays in the new house her dad is building https://t.co/IW5JlhhuxN @refugees https://t.co/XT1SkogzrE","2016-04-26 07:05:03"
48,"Thanks to 45 #ParisAgreement signing ceremony attendees who showed climate action support on @gov @TwitterMirror! https://t.co/0QV203FxHl","2016-04-26 06:05:08"
49,"Yemen: UN Security Council calls for parties in talks to develop road map for security measures: https://t.co/KsqOzuxkSt","2016-04-26 05:45:40"
50,"Tuesday is #WorldIPDay! Details from @WIPO are here: https://t.co/K2BlYr2Afr https://t.co/4iQxfEvaGb","2016-04-26 04:05:06"
51,"RT @UNFPA: One year after the deadly #NepalEarthquake, here's how we protect, empower &amp; uphold the dignity of women &amp; girls https://t.co/9k…","2016-04-26 02:09:52"
52,"RT @UNITAID: Our reports forecast rising demand 4 #malaria diagnostics &amp; #treatment https://t.co/Zve7JbO3P8 #WorldMalariaDay https://t.co/Q…","2016-04-26 01:31:48"
53,"Call all programmers! Challenge yourself w/ #Electricity4All Python challenge @UN_UniteIdeas https://t.co/TLsTPzBGel https://t.co/ARQDomg4GO","2016-04-26 01:05:06"
54,"1 year after the #BurundiCrisis, 250,000+, like Suzana in Tanzania, still can’t go home https://t.co/NkJ4fRO1Og via @Refugees","2016-04-26 00:03:06"
55,"RT @WHO: On #WorldMalariaDay, a push to eliminate #malaria https://t.co/f659WPj601 https://t.co/wj9yQcjNRz","2016-04-25 22:16:23"
56,"@SBatsanov Please find an explanation of adaptation here: https://t.co/Cd73L6v31B","2016-04-25 22:09:41"
57,"RT @UN_Photo: From @UN photo archives: in 1961 spraying against mosquitoes on the banks of the Congo river #WorldMalariaDay https://t.co/rS…","2016-04-25 21:49:59"
58,"History was made at Friday's #ParisAgreement signing ceremony. See these behind-the-scenes photos: https://t.co/0BeCSN3NPb","2016-04-25 19:05:05"
59,"What's happening this week at the UN? List of events is here: https://t.co/9142nTbKhd + preview video: https://t.co/yJQewpZpNO","2016-04-25 17:30:13"
60,"RT @UNHumanRights: New #Guinea report: Female genital mutilation is on the rise. 97% of women &amp; girls aged 15-49 have undergone #FGM https:…","2016-04-25 17:22:44"
61,"Continues this week in @UNGeneva: Committee against Torture. https://t.co/UJHzZ9SS6v","2016-04-25 16:05:07"
62,"Today is #WorldMalariaDay! Join the global effort and show your support. Together, we can #EndMalaria https://t.co/3BzK4vHAWQ","2016-04-25 16:00:20"
63,"RT @UNGeneva: The Intra #SyriaTalks continue at @UNGeneva this week. 
News and statements here: https://t.co/5SOg529rDL https://t.co/cXyRDH…","2016-04-25 15:50:54"
64,"Starts this week in @UNGeneva: Committee on the Elimination of Racial Discrimination https://t.co/YBfZ5jRBzX","2016-04-25 14:30:08"
65,"This week in Bangkok: United Nations Group of Experts on Geographical Names  https://t.co/nMeBejXc6L","2016-04-25 13:05:06"
66,"Malaria gains are fragile @UNITAID strives to contribute to global targets https://t.co/nYfH2DxUU2  #WorldMalariaDay https://t.co/02akPYQT3l","2016-04-25 11:30:05"
67,"On #WorldMalariaDay, find out about progress made in this @WHO video https://t.co/3e7m80m204","2016-04-25 10:05:05"
68,"This wk in Baku: @UNAOC Global Forum: Living Together in Inclusive Society https://t.co/TpO394AVxT #UNAOCBaku2016 https://t.co/nP7oB35JBj","2016-04-25 08:36:07"
69,"History was made at Friday's #ParisAgreement signing ceremony. See these behind-the-scenes photos: https://t.co/0BeCSN3NPb","2016-04-25 07:45:02"
70,"World Immunization Week is underway. Let's close the immunization gap! #VaccinesWork https://t.co/bzdkPpG7BU @WHO https://t.co/aBdfVgVHmN","2016-04-25 07:05:04"
71,"RT @GlobalGoalsUN: The @UN and @AngryBirds have partnered on a new stamp collection to promote climate action! https://t.co/7pgWIgODs5 http…","2016-04-25 06:32:38"
72,"An initiative by @UNITAID &amp; @invectorcontrol can save lives from malaria https://t.co/eeoLXjX7yj  #WorldMalariaDay https://t.co/0BdmAXnOGG","2016-04-25 05:30:05"
73,"RT @IntlCrimCourt: Photos of Angelina Jolie Pitt’s visit to the #ICC Trust Fund for Victims https://t.co/xCOZd9sYnV https://t.co/zqHK7ifRil","2016-04-25 04:59:53"
74,"The @WHO theme for #WorldMalariaDay 2016 is: #EndMalaria For Good, see: https://t.co/3BzK4vpZyg  #DefeatMalaria https://t.co/5W3WSQ0x39","2016-04-25 04:05:06"
75,"RT @WFP_Asia: When the #NepalEarthquake cut off remote communities, we reached those who needed help by any means possible https://t.co/q7A…","2016-04-25 03:22:02"
76,"""If you do not increase finance for adaption, soon there will be no one to adapt"" - @hindououmar on #ParisAgreement https://t.co/wxCPGyzXJ1","2016-04-25 02:30:11"
77,"#ItsNotOnly a drone: It can settle title disputes &amp; give women a fair shot at land ownership https://t.co/o6EUshVNl0 https://t.co/xlwRDnD5eU","2016-04-25 01:05:02"
78,"With Zika as a public health emrgncy, scientists train w/ @IAEAorg to use nuclear-derived tech for early detection https://t.co/gAuxtoAM1y","2016-04-25 00:15:05"
79,"Humanitarian burden grows w/out ambition to reduce emissions - @UNISDR on  #ParisAgreement  https://t.co/DmnjWSA8JN https://t.co/SfvAfChmUG","2016-04-24 23:32:04"
80,"Join the 2016 @PluralPlus Youth Video Festival! Submit entries now: #pluralplus16 https://t.co/faDX5CAmx0 https://t.co/gz8J1Ol9QQ","2016-04-24 22:05:02"
81,"RT @WorldBank: How Colombia cut poverty in 1/2. Innovative peacekeeping initiatives. #ItsNotOnly a violin: https://t.co/n3ooNK8za6 https://…","2016-04-24 21:03:24"
82,"Watch @CFigueres &amp; @RoyalSegolene discuss climate &amp; the #GlobalGoals here --&gt; https://t.co/7taQm0gebm https://t.co/nB9owQToze","2016-04-24 20:29:06"
83,"RT @WFP_Europe: Daunting and incredible images of devastation, then resilience 

#Nepal after the quake:

https://t.co/CIbJuudGTV https://t…","2016-04-24 20:07:21"
84,"What happened this wk at the UN? Video updates from earthquake-struck Ecuador, signing of #ParisAgreement + more https://t.co/JkW5cIKNEA","2016-04-24 19:45:09"
85,"RT @UNICEFinnovate: .@UNICEF has integrated #FacebookMessenger to expand the reach of its real-time social messaging tool @UReportGlobal ht…","2016-04-24 19:33:11"
86,"RT @UReportGlobal: Help us protect children against #bullying. Follow @UReportGlobal &amp; answer DMs #backtoschool #StopBullying https://t.co/…","2016-04-24 19:32:36"
87,"Let's make sure that what gets measured gets done - @UNHumanRights &amp; #GlobalGoals https://t.co/aayxXikSuZ https://t.co/qdHfJwyR9d","2016-04-24 19:07:05"
88,"What is the Climate Action Agenda &amp; how does it relate to the #ParisAgreement? Hear from a @GlobalGoalsUN expert: https://t.co/B32n8RCwxA","2016-04-24 17:26:06"
89,"Somalia rising from the ashes - @AfricaRenewal on “incredible progress” noted by @IMFNews https://t.co/FSMJTSGk12","2016-04-24 16:05:04"
90,".@FAOnews' @grazianodasilva says the #ParisAgreement means we can end extreme poverty &amp; hunger by 2030 https://t.co/hc9XNcmywz","2016-04-24 14:30:10"
91,".@UNDP #Cash4Work in Yemen creates jobs in midst of war for youth https://t.co/uzesphTlzG  #ShareHumanity https://t.co/eNBG4fX7n9","2016-04-24 13:05:01"
92,"16-year-old Tanzanian urges world leaders to act on climate change https://t.co/SechQFlWZ7 #ParisAgreement v @UNICEF https://t.co/9rRM07rPxg","2016-04-24 11:30:09"
93,"Explore extraordinary contributions women have made thoughout history - @UN_Women: https://t.co/IZZxA6IuJf https://t.co/iMGfNvmR5r","2016-04-24 10:05:03"
94,"Leaders signed the  #ParisAgreement on Friday. @UN_Women on link btwn empowerment &amp; climate: https://t.co/EkeU4AN1Pa https://t.co/xUR4d3TsGj","2016-04-24 08:28:04"
95,"RT @Refugees: Jordan hosts over 640,000 Syrian refugees – over 85% live outside camps https://t.co/25HPa9zwzT https://t.co/qIZrUXC1Oe","2016-04-24 07:37:45"
96,"Ban Ki-moon highlighted the role of young people at the #ParisAgreement signature ceremony https://t.co/aEPjkqyjC7 https://t.co/gEhGQhWbmP","2016-04-24 07:09:05"
97,"RT @UN_Women: 1 year after the #NepalQuake, your generosity supports continued rebuilding &amp; relief efforts https://t.co/EOlgoWwfxg https://…","2016-04-24 06:19:10"
98,"World Immunization Week starts Sunday!  https://t.co/hR8iE3wd4A","2016-04-24 05:30:08"
99,"RT @UNFCCC: Our @CFigueres included in @TIMEworld 100 most influential people in world https://t.co/s2EtqXumqP #TIME100 https://t.co/V6CX2k…","2016-04-24 04:58:22"
100,"""Sexual violence is not unspeakable!"" Watch Coline Rapneau's #TEDxNations talk: https://t.co/vFaStIzyR4 @ICRC https://t.co/uaLf5htc0D","2016-04-24 04:05:04"
101,"RT @UNESCO: Participate in our photo contest &amp; spread the message of tolerance. More info: https://t.co/JocYPSfBwj #bookday https://t.co/en…","2016-04-24 03:10:57"
102,"RT @Refugees: Ibrahim will carry the Olympic torch in Athens on behalf of refugees worldwide https://t.co/mRmoUXvN1I #Rio2016 https://t.co/…","2016-04-24 02:59:55"
103,"Appeal launched after Ecuador earthquake. @UNCERF already approved US$7 million: https://t.co/EDYFAF5Knx https://t.co/0IzfuTEI4U","2016-04-24 02:30:12"
104,"RT @WHO: #Libya completed first #polio immunization campaign since 2014, w/ support of WHO &amp; @UNICEF https://t.co/6fV6Fpz2wS https://t.co/x…","2016-04-24 02:09:51"
105,"RT @WFP_MENA: #PhotoOfTheDay: Walking the streets of Taiz, @WFP staffer witnesses the scale of destruction in the war-ravaged city https://…","2016-04-24 01:21:07"
106,"From the @SolarImpulse cockpit: @bertrandpiccard called Ban Ki-moon! See their convo here: https://t.co/YiA8lJf6hk https://t.co/KB6WMYNH5h","2016-04-24 01:05:06"
107,"RT @Refugees: In 2013 Sister Angelique won the #NansenAward – you decide who is next: https://t.co/QXV8u3ZTDS https://t.co/poTnkxhDJv","2016-04-24 00:07:16"
108,"In addition to signing the #ParisAgreement on #EarthDay, leaders planted a tree, see: https://t.co/nWVJudqPma https://t.co/aA1FfCUJ0O","2016-04-23 23:30:14"
109,"RT @UNESCO: Want to know more about empowering women through literacy? There is a book on it! https://t.co/Hn2378eiAt #BookDay https://t.co…","2016-04-23 23:03:12"
110,"RT @WFP: “The earthquake cracked fields, the monsoon washed away what was left.” Some lost everything to #NepalEarthquake https://t.co/K3Dr…","2016-04-23 22:28:10"
111,"What's your favourite book? Saturday is World Book &amp; Copyright Day! https://t.co/Jh3DmiHcGn #BookDay via @UNESCO https://t.co/WIGzBg6Au7","2016-04-23 22:05:06"
112,"RT @WHO: WHO Situation Report on #ZikaVirus, #microcephaly &amp; #GuillainBarrè syndrome https://t.co/3tunZDjJ3i (21 April 2016) https://t.co/R…","2016-04-23 21:22:08"
113,"RT @UN_News_Centre: #Baghdad suicide bombing an act of ‘unparalleled criminality’– senior @UNIraq official https://t.co/kKP5HspSxE https://…","2016-04-23 20:58:43"
114,"With #BurundiCrisis appeal only 27% funded, aid groups are struggling to support @Refugees
https://t.co/uuxhuVhmuJ https://t.co/9NGntIfxJH","2016-04-23 20:30:24"
115,"RT @UNESCO: In places where books are scarce digital books &amp; mobile reading can be a solution! https://t.co/G8DXiP1WLj  #BookDay https://t.…","2016-04-23 19:58:05"
116,"RT @UNFCCC: ""Our planet cannot be saved unless we leave fossil fuels in the ground"" said @LeoDiCaprio at #ParisAgreement signing
https://t.…","2016-04-23 19:50:35"
117,"RT @UN_Photo: Busy time before #ParisAgreement event: @UN Secretary-General &amp; @LeoDiCaprio, re-reading speech, &amp; @twitter mirror https://t.…","2016-04-23 19:23:53"
118,"Don't miss civil society's rep @hindououmar's remarks at #ParisAgreement signing ceremony: https://t.co/Yl5aaWnP57 https://t.co/vJ4weIOJHu","2016-04-23 19:05:03"
119,"RT @gov: https://t.co/yD8Oo84Rom","2016-04-23 18:30:05"
120,"RT @UNESCO: 23 April is  World #BookDay! https://t.co/Bvf84pBxqE  Who said “Once you learn to read, you will be forever free”?","2016-04-23 18:07:13"
121,"""The future is ours &amp; the future is bright.""

History was made Friday when 175 leaders signed the #ParisAgreement!
https://t.co/6vSETDV0nZ","2016-04-23 17:38:47"
122,"""The future is ours &amp; the future is bright.""

History was made Friday when 175 leaders signed the #ParisAgreement!
https://t.co/jYoBh1Jnrd","2016-04-23 17:31:05"
123,"Wroclaw (#Poland) is World Book Capital for 2016, see: https://t.co/RgXtf5eXu7  #BookDay via @UNESCO https://t.co/LEutne93T6","2016-04-23 16:05:05"
124,"RT @solarimpulse: If you have missed the historical call between the @UN and @bertrandpiccard, catch up here!: https://t.co/t8BY8tlnjB http…","2016-04-23 15:37:49"
125,"RT @LeoDiCaprio: #ParisAgreement was signed marking an impt. step in ensuring a livable future. We have the tools to prevent disaster https…","2016-04-23 15:26:28"
126,"Missed your country's statement at the #ParisAgreement signing ceremony? Catch up here: https://t.co/itLahcEVYh https://t.co/POXvMS2OFd","2016-04-23 15:15:06"
127,"""We are in a race against time"" -  Ban Ki-moon as leaders signed #ParisAgreement on Friday https://t.co/vVU282JFxx https://t.co/nekv0Bl2SF","2016-04-23 14:30:13"
128,"Worldwide 7,600 of @UNDP projects helped to save ~13M hectares of forest: https://t.co/FFH6B2mKkQ #ParisAgreement https://t.co/zct6TWx1YF","2016-04-23 13:45:05"
129,"ICYMI: @UNICEF climate advocate Getrude's inspiring address to #UNGA #ParisAgreement signing https://t.co/9pAfDUYM8b https://t.co/7FWo2tem2H","2016-04-23 13:05:05"
130,"RT @franceonu: .@CFigueres receives the Legion of Honor, highest French distinction for her crucial work for #COP21 #ParisAgreement https:/…","2016-04-23 12:44:24"
131,".@UNHumanrRghts committee calls on Russia to amend a list of 458 jobs &amp; 38 industries prohibited to women https://t.co/Ccsvb5Y1HR #CEDAW","2016-04-23 12:15:06"
132,"A historic 175 countries signed #ParisAgreement on Climate Change. Now let's implement it. https://t.co/X0sfLfDeYQ https://t.co/lSuPzP2jEl","2016-04-23 11:30:07"
133,"For public health, #ClimateChange is defining issue for 21st century - @who https://t.co/oEK1KBSVQs #ParisAgreement https://t.co/XOO1UzReJy","2016-04-23 10:45:07"
134,"It's #BookDay - @UNESCO says books are bridges between generations &amp; across cultures https://t.co/Jh3DmiHcGn https://t.co/N9yVFLTeis","2016-04-23 10:05:04"
135,"RT @UNYouthEnvoy: Follow ""United-Nations"" @Snapchat! Go behind-the-scenes @UN HQ for today's historic signing of the #ParisAgreement https:…","2016-04-23 08:38:07"
136,"Hear all the special @UN_Radio coverage of Friday's #ParisAgreement signing ceremony here: https://t.co/N5h2ttS1kp https://t.co/60Z1MNiE4o","2016-04-23 08:30:06"
137,"RT @WFP: Thanks @xtina for your support! #EcuadorEarthquake  https://t.co/mC6TCJLAHD","2016-04-23 08:20:37"
138,"RT @UN_Women: Women have a right to give insight on what's needed on #climateaction https://t.co/hutBdJ7pQp #ParisAgreement https://t.co/wJ…","2016-04-23 07:57:37"
139,"RT @UNwebcast: An Historic Day! 175 countries have signed @UN the #ParisAgreement - Watch all VOD → https://t.co/aQN9XaiSRN https://t.co/97…","2016-04-23 07:49:22"
140,"RT @UNFCCC: Record support for advancing #ParisAgreement entry into force - 175 countries signed today https://t.co/YjTPwHar5k https://t.co…","2016-04-23 07:31:32"
141,"Let's turn aspiration into action! 

Watch &amp; share this video shown to leaders at the #ParisAgreement ceremony.
https://t.co/PbMtd2ffQt","2016-04-23 07:07:38"
142,"RT @TwitterMoments: More than 170 world leaders gathered at the @UN's climate deal signing #ParisAgreement https://t.co/qEm5Ndk3tm","2016-04-23 06:45:50"
143,"RT @GlobalGoalsUN: Did you catch @LeoDiCaprio's passionate speech about climate change today at the @UN? Watch it here: https://t.co/UJiU8e…","2016-04-23 06:33:47"
144,"RT @UN_Photo: Children flood @UN GA Hall before beginning of signing of #ParisAgreement w/ first signatory Pdt Hollande https://t.co/kCuKeS…","2016-04-23 05:56:22"
145,"So many exciting @TwitterMoments today! Here are just a few #ParisAgreement signing ceremony highlights. https://t.co/BgW9pyc7qz","2016-04-23 05:30:11"
146,"RT @AngryBirds: Today's #AngryBirds blog goes to #EarthDay - and the 7 ways you can help protect our planet: https://t.co/GyejXgZr3W https:…","2016-04-23 05:21:15"
147,"RT @CFigueres: Deeply honored to be included in @TIMEworld 100 most influential people in world https://t.co/zOzP7FbjKZ #TIME100 https://t.…","2016-04-23 05:02:47"
148,"People are taking urgent climate action. @fdemetsari just signed the #ParisAgreement. @csbgovtr https://t.co/TDWxWsnITP","2016-04-23 04:51:53"
149,"It's official! 175 leaders signed the #ParisAgreement on #EarthDay! ""The future is ours &amp; the future is bright.""
https://t.co/znjMXfFMRf","2016-04-23 04:33:59"
150,"Check out Honourary ""Green"" Ambassador Red from @AngryBirds @unstamps issued on #EarthDay! https://t.co/V4TAV02CiV https://t.co/NHrvG7G1qa","2016-04-23 04:05:07"
151,"People across the planet are taking urgent climate action. Grenada signed &amp; supports the #ParisAgreement. https://t.co/juk1zJ9pOE","2016-04-23 03:48:02"
152,"Ppl across the planet are taking climate action. Greece's Yiannis Tsironis signed the #ParisAgreement! https://t.co/8jGyR4Pm7M","2016-04-23 03:34:22"
153,"People across the planet are taking urgent climate action. Angola supports the #ParisAgreement. https://t.co/Di99JqJX94","2016-04-23 03:31:14"
154,"People are taking urgent climate action. South Africa Minister signed the #ParisAgreement. @SAMissionNY https://t.co/VY0z1GR7Uq","2016-04-23 03:24:22"
155,"RT @MikeBloomberg: Today is a new beginning for global climate action w/ cities leading the way to achieve U.S. #ParisAgreement goals. http…","2016-04-23 03:18:53"
156,"People are taking urgent climate action. @paulabennettmp just signed the #ParisAgreement. @NZUN https://t.co/LTuhzGrwfF","2016-04-23 03:10:19"
157,"People are taking urgent climate action. @nick_bourne supports the #ParisAgreement! @DECCgovuk https://t.co/pk8ZtTySZb","2016-04-23 03:03:48"
158,".@LeoDiCaprio takes his UN Messenger of Peace duties seriously! Thanks for the #ParisAgreement support! https://t.co/MXKmVxpTL8","2016-04-23 02:58:52"
159,"People are taking climate action. Mexico's chief negotiator @dondisch supports the #ParisAgreement. https://t.co/wQDuDbBHfI","2016-04-23 02:43:19"
160,"People everywhere take climate action. Solomon Islands support the #ParisAgreement! https://t.co/qZdXMcziLv","2016-04-23 02:37:09"
161,"People everywhere are taking urgent action. @cathmckenna of Canada supports the #ParisAgreement. https://t.co/taOnd97bcI","2016-04-23 02:25:49"
162,"People across the planet are taking urgent climate action. @hindououmar supports the #ParisAgreement. https://t.co/Zxk0kRH1CL","2016-04-23 02:16:33"
163,"People are taking urgent climate action. @bereleurai of Timor-Leste just signed the #ParisAgreement. https://t.co/p25LKbSZQ6","2016-04-23 02:07:22"
164,"RT @UN_Spokesperson: Ban Ki-moon &amp; DPRK's Foreign Minister exchange greetings on margins of #ParisAgreement event https://t.co/s1eSFBtIdZ h…","2016-04-23 02:04:47"
165,"RT @UNGeneva: 600 Swiss school children show how much they love the @GlobalGoalsUN -especially #Goal13 ","2016-04-23 01:56:40"
166,"People are taking urgent climate action. Georgia's Minister just signed the #ParisAgreement. @GeorgiaUN https://t.co/OHjpWlR3hF","2016-04-23 01:52:03"
167,"RT @solarimpulse: We are LIVE with the @UN and @bertrandpiccard ! Join this once in a life time call ! Don't miss it! https://t.co/BT6nRMYm…","2016-04-23 01:51:21"
168,"RT @solarimpulse: .@bertrandpiccard LIVE to share #futureisclean message and fight for #ClimateAction from @UN https://t.co/DXCcFL66lK","2016-04-23 01:50:51"
169,"#EarthDay isn't just one day - it's a movement! The planet is in your hands. Thanks for helping Red go ""green!""
https://t.co/JWPVRrHyYy","2016-04-23 01:45:36"
170,"People everywhere take climate action. @asaromson just signed the #ParisAgreement! @SwedenUN https://t.co/ufaG1sKCPd","2016-04-23 01:43:41"
171,"RT @UNFCCC: Missed your country's statement at today's #ParisAgreement signing ceremony? Catch up here https://t.co/MrYUz1kCin https://t.co…","2016-04-23 01:37:54"
172,"People are taking climate action. Ramon Paje of Philippines just signed the #ParisAgreement. https://t.co/MvJIMYuqL8","2016-04-23 01:35:01"
173,"RT @JustinTrudeau: Canada has officially signed the Paris Agreement on #ClimateChange! https://t.co/Tcw2Me82lI","2016-04-23 01:33:45"
174,"People across the planet are taking urgent climate action. @KTnepal just signed the #ParisAgreement. https://t.co/mvKGkMo5Pe","2016-04-23 01:28:53"
